Title,Rating,Review_counts,City,Province,Reviews
NEWLY FURNISHED LUXURY VACATION RETREAT at Okanagan Golf Resort; pool & hot tub,4.5,3,Kelowna, British Columbia,kitchen that I've just never seen in any other rentals I've been in.
Stoney Creek Northstar 8 - Conveniently located with pool and hot tub access,3.5,7,Whistler, British Columbia,through the rental for  nights - this did not happen My test on
Rental Cabin,,,Ninette, Manitoba,
Gorgeous 3 Bedroom Sidney Area Lindal Home Steps To The Beach,5,2,Sidney, British Columbia, mention of vacation rentals Heron's Landing was by far the absolute best vacation rental I have
Furnished One Bedroom for Short Term Rental,,,Eganville, Ontario,
Gorgeous House for family Vacation in Vancouver,,,Burnaby, British Columbia,
Cozy Lowertown Home near Byward Market,5,3,Ottawa, Ontario,vacation home was perfect for our needs. the house was charming with
"Vacation Home with Mountain Views, Golf, Skiing",,,Radium Hot Springs, British Columbia,
Vantastic Rentals Camper van rentals,5,,Vernon, British Columbia,to bigger RV rental companies. I would recommend a Vantastic rental
Lovely Family Vancation Rental,,,Calgary, Alberta,
Butterfly Cottage,5,13,Niagara-on-the-Lake, Ontario,the help of our rental accomodation! The Butterfly Cottage had
Prtivate Vacation apartment overlooking McNab,,,St. Peter's, Nova Scotia,
Blue Bear Wilderness Retreat Rentals,5,3,St. George, New Brunswick,This vacation resort is nothing short of amazing. My family stayed
Tangle wood rental,,,Parksville, British Columbia,
Mac's Shacks Waterfront Cottage Rentals - The Lookabout - 4 Season,5,4,Stokes Bay, Ontario,
Greystone Lodge Largest Renovated 2 Bedroom + Loft W/D A/C | Acer Vacations,5,17,Whistler, British Columbia,furniture than I usually find in rentals. Bathrooms clean & very nice;
Mac's Shacks Waterfront Cottage Rentals - The Huron - 4 Seasons,5,3,Stokes Bay, Ontario,
Timberstone Lodge 3 bedroom Condo true ski in/out,5,5,Kimberley, British Columbia, mention of vacation rentals complaints about this vacation rental. will book again with them
Skyiing vacation in the mountains,,,Shanty Bay, Ontario,
All Inclusive Room for Rent,5,,Montreal, Quebec, mention of vacation rentals heartily recommending this vacation rental to my friends and certainly look
Private Hot Tub Ski-IN-OUT Renovated Cozy in Private Setting Free Parking,5,3,Whistler, British Columbia,I have stayed in many owner-rented condos for vacations. This one is
Stunning Lake View | Beachfront Condo + Saltwater Pool + Hot Tub,5,2,Osoyoos, British Columbia, mention of vacation rentals beautiful condo is perfect for a family vacation or a family reunion.
Spectacular 6 Bedroom Executive Victoria Vacation Home with Amazing Views,5,,Victoria, British Columbia,
Came from a Way vacation home,,,Bonavista, Newfoundland and Labrador,
Seaside Vacation at Hotel Paulin,,,Caraquet, New Brunswick,
Stonehaven Niagara 9 - SALE - HALF OFF CLEANING until Monday!,5,,St. Catharines, Ontario," mention of vacation rentals everything in it to make an ideal vacation rental. It is affordable, clean"
A Brand New Rental Room available in South Barrie,,,Barrie, Ontario,
Year round rental 155 lower duplex,,,Borden-Carleton, Prince Edward Island,
Dock side Cabin,4,8,Cloyne, Ontario,"great use of their canoes and motor boat rental. Had a lovely, relaxing"
Acer Vacations | Whistler Town Home - Cozy 2 Bedroom Mountainside Lodging,5,12,Whistler, British Columbia,"Mud room/entry way for skis is a convenient feature. Wouldn't be my first choice,..."
5 O CLOCK SOMEWHERE VACATION HOME,5,,Bonavista, Newfoundland and Labrador,
Casa Loma Short Term Rental,,,Toronto, Ontario,
Butler's Pine Cottage,5,4,Stanhope, Prince Edward Island," mention of vacation rentals vacation to PEI, and I can't speak highly enough of this sweet little"
Kenora Ice Hut Rental,,,Kenora, Ontario,
Tsawwassen Vancouver Executive 4Bdrm View Vacation Home,,,Tsawwassen, British Columbia,
True Ski In Rental! Suite with Private Balcony + Fireplace,,,Whistler, British Columbia,
"Luna Vista - Private Cabin for 2 - Quadra Isl., BC",5,11,Quadra Island, British Columbia, mention of vacation rentals We loved this vacation rental. It's a perfect little package of
"Playa Del Sol Resort, 2bedroom+den with huge pool and great amenities",5,,Kelowna, British Columbia," mention of vacation rentals with Dwayne makes things easy to do the rental process ,even from"
Ideal family vacation home away from home,,,Toronto, Ontario,
"Home Away from Home in Stratford, Ontario",5,4,Stratford, Ontario, mention of vacation rentals We loved everything about this vacation rental. We were impressed by
Short term rental close to Kelowna hospital,,,Kelowna, British Columbia,
"1SUNNY BEDROOM RENTAL,CLOSE TO ALL FACILITIES",,,Edmonton, Alberta,
Mac's Shacks Waterfront Cottage Rentals - The Gardens - 3 Season,5,,Stokes Bay, Ontario,
Garden/Lake View Suite in the Heart of Wine Country,4.5,2,Kelowna, British Columbia, mention of vacation rentals nice people. I would definitely recommend this rental to any family that wants a splendid vacation!
Vacation Paradise for Family and Business,,,Sechelt, British Columbia,
Rivers End Cottage,5,10,Port Mouton, Nova Scotia,"What a wonderful and memorable vacation, one that my children, my"
Scotch Creek Cottages (Classic Cottage #1) - Shuswap Lake Vacations,5,11,Scotch Creek, British Columbia,"to be a very special family vacation. The cottages are modern, clean"
SHORT TERM RENTAL SUITE. THORNHILL,,,Thornhill, Ontario,
The Baker Suite Apartment #1,4.5,21,Nelson, British Columbia,my rental bike and found an earring! Nelson is a magical town and
Luxury loft Living !,5,,Saskatoon, Saskatchewan, mention of vacation rentals thoughtful person to rent from. I would stay in any of her vacation
Aspens #4-406 ASPEN406,5,3,Big White, British Columbia,"we look for when renting, a ski-in/ski/out rental. Super friendly"
Newfoundland Oceanview Vacation Retreat,,,Heart's Content, Newfoundland and Labrador,
1 Bedroom Oceanview Chalet with Free Kayak Rental and BBQ on Deck!,,,Lund, British Columbia,
Cedar Hollow #04,4.5,7,Whistler, British Columbia,"helpful in organizing ski passes, ski rentals, lessons etc and very"
"Vintage room on Ile d'Orleans, bike & scooter rental on-site",1,,Saint-Laurent-de-l'Ile-d'Orleans, Quebec,
"Executive Rental, Furnished Rental, Furnished Stay, Furnished Accommodation",,,Edmonton, Alberta,
Potlatch Haven - Beautiful Cortes Island Rental,,,Cortes Island, British Columbia,
Modern Vacation Home in a Peaceful Neighborhood,,,Edmonton, Alberta,
Quaint 17th Century Sea Captain House between Beach & Town- Private yet Central,3,3,New Glasgow, Nova Scotia," mention of vacation rentals anyway ..,huge invasion of privacy and breaks rental agreement In the"
Weekly Rental - 1 BR Furnished Home Burnaby - 1102,1,,Burnaby, British Columbia,", PELICAN, is the worst ever in customer care and their rental process is an"
Secluded Cape Breton Nova Scotia Ocean Front Vacation Home,,,Cleveland, Nova Scotia,
Beautiful New Vacation Suite in the North Okanagan,,,Vernon, British Columbia,
Condo - Marvelous vacation in Tremblant,,,Montreal, Quebec,
"Luxury Glamping and All Terrain Vehicle Rentals (ATVs, UTVs and snowmobiles)",,,Bracebridge, Ontario,
Furnished Rental 2 Bedroom Suite in Mississauga - 2419O2,5,,Mississauga, Ontario,
Vantastic Rentals Ltd.,5,4,Vernon, British Columbia,
Serene Chalet Near the Ocean with Hot Tub & Free Kayak Rentals,,,Lund, British Columbia,
Whole Living Vacation Home,,,Elliston, Newfoundland and Labrador,
Brand new all-season luxury vacation home,,,Havelock, Ontario,
"Corporate Rental 2BR + Den Signature Suite, Mississauga - 2802",,,Mississauga, Ontario,
Green Vacation Mountain Chalet - Sleeps 18 - Pet Friendly!,5,2,Silver Star, British Columbia,
Zimackay Lakefront Cottage Rental Pet-friendly Laurentians Quebec,,,Wentworth Nord, Quebec,
Niagara-on-the-lake Cottage Rental,,,Niagara Falls, Ontario,
Magog Lovely Vacation Home,,,Orford, Quebec,
Historic One Bedroom Waterfront Vacation Home sleeps up to 4,1,,Niagara-on-the-Lake, Ontario,our vacation and then to respond to my complaint only by email
"Stoney Creek Lagoons 5 - Conveniently located, free parking & wifi",4.5,11,Whistler, British Columbia, mention of vacation rentals condition and the furnishings more than adequate for a vacation rental.
Short Terms Rental 3 Bedroom Condo in Mississauga,,,Mississauga, Ontario,
Coldstream Premium Vacation Home,,,Coldstream, British Columbia,
Indian Harbour Cottage Rentals,,,Indian Harbour, Nova Scotia,
Sunset Peak - 3 Bedroom / 3 Bathroom Vacation Home on the Skyway,5,,Silver Star, British Columbia,
Ship Builder's Cottage,5,,Niagara-on-the-Lake, Ontario," mention of vacation rentals , relaxing mini vacation. I love NOTL and staying at this quaint little"
4 two bedroom Cottages with Boat Rentals (extra),,,Lavigne, Ontario,
Kimberley Lodge Luxury 4000sq ft Vacation Home,5,,Kimberley, British Columbia,fantastic rental home. The whole group of guys had a great time and
Cottage On The Lake -Sunset Cottage,5,2,Red Bay, Ontario," mention of vacation rentals We liked that it felt like ""home"" but was definitely a vacation kind"
Beautiful Vacations Home - La Taniere,,,Saint-Philemon, Quebec,
Big Rideau Vacation Home,,,Newboro, Ontario,
Waterfront Cottage Rental,,,Manitowaning, Ontario,
Gorgeous downtown Annex rental,,,Toronto, Ontario,
Bradford Vacation,,,Newmarket, Ontario,
Family Ties Vacation Home,,,Twillingate, Newfoundland and Labrador,
Centrally Located 4 bedroom Vancouver Island Vacation Home,,,Nanoose Bay, British Columbia,
Executive Rental 1 BR Suite at Sheppard Ave East - 2206,5,,Toronto, Ontario,
Ross' Camp Resort - Fishing and Family Vacations,,,Emo, Ontario,
Amazing Vacation Home at an Amazing Resort,,,Port Colborne, Ontario,
Furnished Rental 1 Bedroom Suite in Mississauga 9019106,,,Mississauga, Ontario,
Luxury House for Vacation,,,Richmond, British Columbia,
AFTICA Luxury Lakefront Cottage Rental Laurentians Quebec,,,Wentworth Nord, Quebec,
Sunny and Zen apartment in Montreal's Mile End,3.5,3,Montreal, Quebec, mention of vacation rentals Absolutely LOVED our stay in this vacation rental!!! It is a
Beautiful & REDUCED 2 bedroom Short Term Rental,,,Edmonton, Alberta,
Holiday/ Vacation Guest Home,,,Laval, Quebec,
Traditional Oceanside Vacation Cottage - 12 minutes from St. John's (YYT),,,St. John's, Newfoundland and Labrador,
Luxury Vacation Corner Penthouse Suite,,,Canmore, Alberta,
Eco Home Smart Vacation In The Capital,,,Stittsville, Ontario,
Executive Rental 1 Bedroom Suite in Ovation Towers - 9020726,,,Mississauga, Ontario,
Family And Friends Size - The Ideal Vacation With Views of It All,,,Kelowna, British Columbia,
Alpine Greens #21,5,6,Whistler, British Columbia,Tight garage for a massive rental SUV. The free shuttle sometimes
Executive Rental 2BR + Den Suite in Mississauga,,,Mississauga, Ontario,
Executive Rental 1 Bedroom Suite in South Mississauga 9020601,,,Mississauga, Ontario,
Acer Vacations | 2 Bedroom and Loft Ski-In Out Family Condo in Whistler,4.5,5,Whistler, British Columbia,
'Harts At Home' Vacation Chalet,,,Gagetown, New Brunswick,
Seaside Haven: Golf and Family Vacation Home,,,Georgetown, Prince Edward Island,
Executive 5 Bedroom Waterfront Home Close to Downtown Victoria,3,,Victoria, British Columbia, mention of vacation rentals We booked with EMR vacation rentals & prior to arriving they were
Cabot Trail Vacations RV Cottages,4,4,Grand Etang, Nova Scotia,We booked with Cabot Trail Vacations as a finale to our Summer
Your Next Ski Vacation | Slopeside Access + Fireplace + Shared Hot Tub,,,Mount Washington, British Columbia,
Quiet 3BR Ravine Suite Near West Edmonton Mall - Long Term Rental Special Rate!,,,Edmonton, Alberta,
6 month rental furnished,,,Squamish, British Columbia,
Executive Rental 2 Bedroom + Den in Ovation Towers,5,,Mississauga, Ontario,
Your 3 Bedroom Vacation Home in Ft Saskatchewan,,,Fort Saskatchewan, Alberta,
Furnished Rental 1 Bedroom Suite in Ovation Towers - 9020660,,,Mississauga, Ontario,
"Brookside Manor- 3 bdrm vacation home with pool, deck, bicycles, wifi & more!",,,Breadalbane, Prince Edward Island,
"Tofino Townhome Luxury 3 bedroom, 2.5 bath monthly rental",,,Tofino, British Columbia,
"Seasalt Suite, private, brand new, close to beach",5,9,Qualicum Beach, British Columbia,thinking about how many rentals we have done around the world-
Ideal for a Romantic Getaway / Family Vacation! | Cross-Country Trails (230981),,,Saint-Faustin-Lac-Carre, Quebec,
Corporate Rental 1 Bedroom Suite in Ovation Towers - 9020677,,,Mississauga, Ontario,
"Lovely Vacation Condo, Collingwood minutes to Lake & Blue Mountain Village & Spa",5,2,Collingwood, Ontario,
Gorgeous 3 bedrooms family vacation house,,,Brampton, Ontario,
Fallsview Family Vacation Home,,,Niagara Falls, Ontario,
Greystone Lodge | Family Friendly Luxury 2 bedroom + Loft | Acer Vacations,5,,Whistler, British Columbia,Love the indoor and outdoor hot tubs for after skiing. And the management is very...
Short Terms Rental 1 BR Suite in Ovation Towers - 9020700,,,Mississauga, Ontario,
100 Glaciers Reach this 1br home has a hot tub & pool in Whistler Village,5,8,Whistler, British Columbia,"kitchen was equipped. Highly recommend this rental, as well as Whistler which offers something for everyone!"
Deck with View of the Lake | 3 Boats Included in the Rental / 215647,,,Val-des-Lacs, Quebec,
Great 5 bedrooms Vacation Home Close COP,,,Calgary, Alberta,
Spacious & Modern Vacation Home by Harmony Whistler,,,Whistler, British Columbia,
"Spyglass 6E, top floor lofted vacation home in Big White Ski Resort",,,Big White, British Columbia,
Corporate Rental 2 Bedroom Suite in Ovation Towers - 2808O1,,,Mississauga, Ontario,
House short term rental – Vancouver Is Canada,,,Westholme, British Columbia,
Quaint Vacation Home just minutes from Baddeck and Gaelic College,,,Baddeck, Nova Scotia,
Furnished Rental 1BR +Den Suite in Avonshire,,,Toronto, Ontario,
Corporate Rental 2BR + Den Suite in Mississauga,,,Mississauga, Ontario,
Blacksmith 7 Lower Village Location Sleeps 9,4.5,3,Big White, British Columbia, mention of vacation rentals We are a group consisting of two families and found this vacation
Stunning Vacation Place Falcon Crest Lodge,,,Canmore, Alberta,
Birch Cottage - Great Spirit Lodge & Adventures Island Cottage Rental,5,,Temagami, Ontario,"friendly, helpful and kind. Even our dog had a great vacation in this"
Short Terms Rental 2 BR Suite in Ovation Towers - 2908O1,,,Mississauga, Ontario,
⭐WOW- Executive Rental Fully Furnished - Modern Condo - Amazing Sunsets,,,Calgary, Alberta,
Spruce Cottage - Great Spirit Lodge & Adventures Island Cottage Rental,,,Temagami, Ontario,
"RELOCATION , BUSINESS STAYS , FAMILY VACATIONS ;",,,North Vancouver, British Columbia,
Spectacular 4 Bedroom Beach Front Walk Out Vacation Home,,,Comox, British Columbia,
Top Floor 3 Bedroom Luxury Rental With Views Of Big White Ski Runs,,,Big White, British Columbia,
Ideal for a Romantic Getaway / Family Vacation! | Cross-Country Trails (230980),,,Saint-Faustin-Lac-Carre, Quebec,
Acer Vacations | Luxury 2 Bedroom and Loft Greystone Lodge with AC and WD,4.5,2,Whistler, British Columbia,
Cedar Cottage - Great Spirit Lodge & Adventures Island Cottage Rental,,,Temagami, Ontario,
Vacation at 'Sage' Cottage on Osoyoos Lake,,,Osoyoos, British Columbia,
Acer Vacations | Family Friendly 2 Bedroom & Loft in Greystone Lodge Whistler,5,,Whistler, British Columbia,Love the indoor and outdoor hot tubs for after skiing. And the management is very...
Acer Vacations | Renovated 2 Bedroom with Washer and Dryer at Greystone Lodge,,,Whistler, British Columbia,
Cape George Point Look-Off Vacation Home,,,Cape George, Nova Scotia,
Acer Vacations | Greystone Lodge Two Bedroom Luxury Ski-In Ski-Out Whistler,4.5,3,Whistler, British Columbia,
Acer Vacations | Family Friendly 2 Bedroom Ski-In Ski-Out Whistler Condo,,,Whistler, British Columbia,
Luxury Town home Suite - Prime Location in Toronto - Short Term Rental,,,Mississauga, Ontario,
Ocean Front Spectacular Luxurious 2 Bedroom Vacation Home,,,Central Saanich, British Columbia,
Montebello #58 - Luxury Whistler Townhome with private hot tub,2,,Whistler, British Columbia," mention of vacation rentals vacation. However, the refrigerator wasn't cold and there was no ice."
Acer Vacations - Greystone Lodge Large 2 Bedroom Sleeps 8 Ski-In Ski-Out,,,Whistler, British Columbia,
Merigomish,3.5,3,Prince Edward County, Ontario," mention of vacation rentals a luxury rental. That said, we found it to be charming and loved that"
"Crystal View, a beautiful stand alone family vacation, ski in ski out",,,Big White, British Columbia,
Executive Rental 2 Bedroom Suite in Ovation Towers - 3413O3,,,Mississauga, Ontario,
Acer Vacations | Family Friendly 2 Bedroom Loft Ski-In Ski-Out Accommodation,,,Whistler, British Columbia,
Skyline House 120 km from Jasper National Park,5,3,Valemount, British Columbia,#NAME?
"Luxury Condo near Skiing w/ WiFi, Resort Golf, Pool, Hot Tub, Spa & Ski Rentals",,,Panorama, British Columbia,
Private Heated Pool & indoor Spa | Spacious Laurentian Family Vacation Chalet,,,Sainte-Sophie, Quebec,
"TORONTO VACATION HOME [3 Bedrooms, 2.5 Bath & Sleeps 6]",,,Toronto, Ontario,
Acer Vacations - Greystone Lodge Ski-In Ski-Out Luxury 2 Bedroom Sleeps 7,,,Whistler, British Columbia,
Ideal for Romantic Getaway/Family Vacation! | Cross-Country Ski Trails (264990),,,Saint-Faustin-Lac-Carre, Quebec,
Ski In / Ski Out Plus Pool & Hot Tub by Harmony Whistler Vacations,,,Whistler, British Columbia,
"Luxury Condo near Skiing w/ WiFi, Resort Golf, Pool, Hot Tub, Spa & Ski Rentals",,,Panorama, British Columbia,
Ideal for Romantic Getaway/Family Vacation! | Cross-Country Ski Trails (230978),,,Saint-Faustin-Lac-Carre, Quebec,
Relax and Enjoy your Summer Vacation in this Beautiful Home and Setting,,,Ridgeway, Ontario,
"Luxury Condo near Skiing w/ WiFi, Resort Golf, Pool, Hot Tub, Spa & Ski Rentals",,,Panorama, British Columbia,
Mulberry Rental Home Central Hamilton near James St. North arts disctrict,,,Hamilton, Ontario,
Beautiful 3 Bedroom Vacation House in SW Calgary,,,Calgary, Alberta,
Acer Vacations - Greystone Lodge Luxury 2 bedroom and Loft with Great Views,,,Whistler, British Columbia,
"Snowbird 304 is luxury vacation home in Happy Valley, Big White Mountain, BC",,,Big White, British Columbia,
"Luxury Condo near Skiing w/ WiFi, Resort Golf, Pool, Hot Tub, Spa & Ski Rentals",,,Panorama, British Columbia,
Ideal for Romantic Getaway/Family Vacation! | Cross-Country Ski Trails (230976),,,Saint-Faustin-Lac-Carre, Quebec,
"Lake Front Kelowna Vacation Home-2 Bed & Bath, Swim in Lake, Play in Pool, Relax",,,South Fintry, British Columbia,
Ideal for Romantic Getaway/Family Vacation! | Cross-Country Ski Trails (264993),,,Saint-Faustin-Lac-Carre, Quebec,
"When skiing, hiking or wine tasting, Green Vacation Mountain Chalet is the place",,,Vernon, British Columbia,
Ideal for Romantic Getaway/Family Vacation! | Cross-Country Ski Trails (230975),,,Saint-Faustin-Lac-Carre, Quebec,
BEAUTIFUL SPACIOUS KALAMALKA LAKEVIEW SUITE - BEST SUMMER VACATION SPOT IN BC,,,Coldstream, British Columbia,
